[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Na (all spectra): 1702 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 80000
Query NIST Bibliographic Databases for
Na (new window)
Na Energy Levels
Na Line Wavelengths and Classification
Na Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                      Observed  |                        Ritz    |    Rel. |    Aki    | Acc. |             Ei           Ek             |              Lower level              |              Upper level               |  gi   gk  |Type|                  TP  |          Line  |
          |                     Wavelength |                     Wavelength |    Int. |    s^-1   |      |           (cm-1)       (cm-1)           |---------------------------------------|----------------------------------------|           |    |                 Ref. |          Ref.  |
          |                      Air (nm)  |                      Air (nm)  |    (?)  |           |      |                                         | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |                      |                |
Na III    |                   200.8470     |                   200.8468     |      11 | 1.45e+08  | D    |   415172.28        -    464945.37       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 4P       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   200.9328     |                   200.9307     |      bl |           |      |   466011.91        -    515764.23       | 2s2.2p4.(3P).3d       | 2P      | 1/2 | 2s2.2p4.(3P<2>).4f    | 2[2]*    | 3/2 |   2 - 4   |    |                      |         L2909  |
Na II     |                   200.9567     |                                |       7 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na II     |                   201.0093     |                                |      10 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   201.1865     |                   201.1865     |      15 | 6.37e+08  | B+   |   414281.85        -    463970.92       | 2s2.2p4.(3P).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d       | 2F       | 7/2 |   6 - 8   |    |            c51,T7317 |         L1882  |
Na VII    |                                |                   201.3        |         | 1.74e+07  | B    |  1253780           -   1303450?         | 2s.2p.(1P*).3p        | 2P      | 3/2 | 2s.2p.(1P*).3d        | 2D*      | 3/2 |   4 - 4   |    |           T7192c3,LS |                |
Na III    |                   201.4169     |                   201.4169     |      11 | 4.88e+08  | A    |   445797.52        -    495429.75       | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(1D).3d       | 2F       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   201.7024     |                   201.7024     |      12 | 5.44e+08  | A    |   445873.20        -    495435.20       | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(1D).3d       | 2F       | 7/2 |   6 - 8   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na II     |                   201.7137     |                                |     160 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   201.723      |                   201.7246     |       1 | 4.31e+07  | B    |   445873.20        -    495429.75       | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(1D).3d       | 2F       | 5/2 |   6 - 6   |    |            c51,T7317 |         L1882  |
Na IV     |                   201.8137     |                   201.814      |       5 | 3.45e+08  | B    |   486650.2         -    536184.9        | 2s2.2p3.(4S*).3s      | 3S*     | 1   | 2s2.2p3.(4S*).3p      | 3P       | 0   |   3 - 1   |    |             T7663c11 |         L3834  |
Na IV     |                   201.8384     |                   201.838      |      10 | 3.44e+08  | B+   |   486650.2         -    536178.8        | 2s2.2p3.(4S*).3s      | 3S*     | 1   | 2s2.2p3.(4S*).3p      | 3P       | 2   |   3 - 5   |    |             T7663c11 |         L3834  |
Na II     |                   201.8409     |                                |      40 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na IV     |                   201.9188     |                   201.919      |       9 | 3.44e+08  | B    |   486650.2         -    536159.1        | 2s2.2p3.(4S*).3s      | 3S*     | 1   | 2s2.2p3.(4S*).3p      | 3P       | 1   |   3 - 3   |    |             T7663c11 |         L3834  |
Na II     |                   201.9219     |                                |      25 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                                |                   202.1225     |         | 2.97e+07  | C+   |   415172.28        -    464631.29       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 4P       | 3/2 |   4 - 4   |    |            c51,T7317 |                |
Na III    |                   202.2295     |                   202.2298     |       9 | 4.62e+07  | B    |   410976.94        -    460409.70       | 2s2.2p4.(3P).3p       | 4D*     | 7/2 | 2s2.2p4.(3P).3d       | 4D       | 5/2 |   8 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   202.3225     |                   202.3228     |       6 | 3.29e+07  | C+   |   414281.85        -    463691.90       | 2s2.2p4.(3P).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d       | 4F       | 5/2 |   6 - 6   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                                |                   202.4293     |         | 9.33e+05  | D+   |   417403.98        -    466788.03       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 2P       | 3/2 |   4 - 4   |    |            c51,T7317 |                |
Na III    |                   202.8553     |                   202.8557     |      12 | 1.93e+08  | B+   |   410976.94        -    460257.21       | 2s2.2p4.(3P).3p       | 4D*     | 7/2 | 2s2.2p4.(3P).3d       | 4D       | 7/2 |   8 - 8   |    |            c51,T7317 |         L1882  |
Na III    |                                |                   203.0230     |         | 6.48e+05  | D    |   415172.28        -    464411.94       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 4P       | 1/2 |   4 - 2   |    |            c51,T7317 |                |
Na III    |                   203.1128     |                   203.1128     |      12 | 3.08e+08  | C+   |   415172.28        -    464390.17       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 2F       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   203.5897     |                   203.5898     |      11 | 6.23e+08  | B+   |   416909.31        -    466011.91       | 2s2.2p4.(3P).3p       | 2S*     | 1/2 | 2s2.2p4.(3P).3d       | 2P       | 1/2 |   2 - 2   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                   203.7776     |                   203.7780     |       8 | 6.73e+07  | B    |   411536.38        -    460593.62       | 2s2.2p4.(3P).3p       | 4D*     | 5/2 | 2s2.2p4.(3P).3d       | 4D       | 3/2 |   6 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   204.1661     |                   204.1665     |      12 | 1.64e+08  | B    |   414281.85        -    463245.76       | 2s2.2p4.(3P).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d       | 4F       | 7/2 |   6 - 8   |    |            c51,T7317 |         L1882  |
Na III    |                   204.3290     |                   204.3289     |      12 | 4.02e+08  | B+   |   399182.31        -    448107.31       | 2s2.2p4.(1D).3s       | 2D      | 3/2 | 2s2.2p4.(1D).3p       | 2P*      | 1/2 |   4 - 2   |    |            c51,T7317 |         L1882  |
Na III    |                                |                   204.4130     |         | 1.05e+07  | C    |   415172.28        -    464077.16       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 4F       | 3/2 |   4 - 4   |    |            c51,T7317 |                |
Na III    |                   204.4823     |                   204.4821     |      10 | 4.00e+08  | B+   |   445797.52        -    494685.86       | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(1D).3d       | 2D       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                   204.5443     |                   204.5450     |      10 | 1.05e+08  | B+   |   411536.38        -    460409.70       | 2s2.2p4.(3P).3p       | 4D*     | 5/2 | 2s2.2p4.(3P).3d       | 4D       | 5/2 |   6 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   204.797      |                   204.7992     |       1 | 4.69e+07  | B    |   445873.20        -    494685.86       | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(1D).3d       | 2D       | 3/2 |   6 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   204.8313     |                   204.8305     |       6 | 6.54e+07  | B+   |   445797.52        -    494602.73       | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(1D).3d       | 2D       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   204.8719     |                   204.8725     |       7 | 8.11e+07  | B    |   411951.78        -    460746.98       | 2s2.2p4.(3P).3p       | 4D*     | 3/2 | 2s2.2p4.(3P).3d       | 4D       | 1/2 |   4 - 2   |    |            c51,T7317 |         L1882  |
Na II     |                   205.0877     |                                |      80 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                   205.1484     |                   205.1486     |      11 | 4.36e+08  | A    |   445873.20        -    494602.73       | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(1D).3d       | 2D       | 5/2 |   6 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   205.1845     |                   205.1853     |       5 | 1.37e+07  | B    |   411536.38        -    460257.21       | 2s2.2p4.(3P).3p       | 4D*     | 5/2 | 2s2.2p4.(3P).3d       | 4D       | 7/2 |   6 - 8   |    |            c51,T7317 |         L1882  |
Na III    |                   205.5183     |                   205.5185     |       9 | 6.39e+07  | B    |   411951.78        -    460593.62       | 2s2.2p4.(3P).3p       | 4D*     | 3/2 | 2s2.2p4.(3P).3d       | 4D       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                                |                   205.6619     |         | 1.69e+06  | D+   |   417403.98        -    466011.91       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 2P       | 1/2 |   4 - 2   |    |            c51,T7317 |                |
Na III    |                   205.873      |                   205.8755     |       4 | 6.95e+07  | B    |   412189.46        -    460746.98       | 2s2.2p4.(3P).3p       | 4D*     | 1/2 | 2s2.2p4.(3P).3d       | 4D       | 1/2 |   2 - 2   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na II     |                   205.9617     |                                |       2 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   206.0360     |                   206.0363     |      10 | 8.12e+07  | B    |   415172.28        -    463691.90       | 2s2.2p4.(3P).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d       | 4F       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                   206.2990     |                   206.2987     |       5 | 2.21e+07  | B    |   411951.78        -    460409.70       | 2s2.2p4.(3P).3p       | 4D*     | 3/2 | 2s2.2p4.(3P).3d       | 4D       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na VIII   |                                |                   206.3        |         | 2.03e+08  | B+   |  1426120           -   1474580          | 1s2.2p.3s             | 1P*     | 1   | 1s2.2p.3p             | 1D       | 2   |   3 - 5   |    |              T5633c3 |                |
Na VII    |                                |                   206.5        |         | 1.81e+04  | E    |  1415630           -   1464050          | 2p2.(1D).3d           | 2D      | 3/2 | 2s.2p.(3P*).4d        | 2D*      | 5/2 |   4 - 6   |    |           T7192c3,LS |                |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na VII    |                                |                   206.5        |         | 2.55e+05  | D+   |  1415630           -   1464050          | 2p2.(1D).3d           | 2D      | 5/2 | 2s.2p.(3P*).4d        | 2D*      | 5/2 |   6 - 6   |    |           T7192c3,LS |                |
Na III    |                   206.5282     |                   206.5278     |       4 | 2.58e+07  | B    |   412189.46        -    460593.62       | 2s2.2p4.(3P).3p       | 4D*     | 1/2 | 2s2.2p4.(3P).3d       | 4D       | 3/2 |   2 - 4   |    |            c51,T7317 |         L1882  |
Na V      |                                |                   206.635      |         | 2.46e-02  | C    |        0           -     48379          | 2s2.2p3               | 4S*     | 3/2 | 2s2.2p3               | 2D*      | 3/2 |   4 - 4   | M1 |       T7663c11,T7010 |                |
Na V      |                                |                   206.635      |         | 6.34e-04  | C    |        0           -     48379          | 2s2.2p3               | 4S*     | 3/2 | 2s2.2p3               | 2D*      | 3/2 |   4 - 4   | E2 |                T7010 |                |
Na III    |                   206.6601     |                   206.6598     |      15 | 3.72e+08  | B+   |   399174.71        -    447547.96       | 2s2.2p4.(1D).3s       | 2D      | 5/2 | 2s2.2p4.(1D).3p       | 2P*      | 3/2 |   6 - 4   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                                |                   206.6714     |         | 1.53e+08  | B+   |   418417.50        -    466788.03       | 2s2.2p4.(3P).3p       | 2P*     | 3/2 | 2s2.2p4.(3P).3d       | 2P       | 3/2 |   4 - 4   |    |            c51,T7317 |                |
Na III    |                   206.6905     |                   206.6923     |       8 | 1.57e+07  | C+   |   399182.31        -    447547.96       | 2s2.2p4.(1D).3s       | 2D      | 3/2 | 2s2.2p4.(1D).3p       | 2P*      | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
Na V      |                                |                   206.789      |         | 7.43e-04  | D+   |        0           -     48343          | 2s2.2p3               | 4S*     | 3/2 | 2s2.2p3               | 2D*      | 5/2 |   4 - 6   | M1 |       T7663c11,T7010 |                |
Na V      |                                |                   206.789      |         | 9.82e-04  | C    |        0           -     48343          | 2s2.2p3               | 4S*     | 3/2 | 2s2.2p3               | 2D*      | 5/2 |   4 - 6   | E2 |                T7010 |                |
Na VII    |                                |                   206.8        |         | 1.59e+07  | B    |  1529460           -   1577810?         | 2s2.6d                | 2D      | 5/2 | 2s.2p.(1P*).4d        | 2F*      | 7/2 |   6 - 8   |    |           T7192c3,LS |                |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na VII    |                                |                   206.8        |         | 1.49e+07  | B    |  1529460           -   1577810?         | 2s2.6d                | 2D      | 3/2 | 2s.2p.(1P*).4d        | 2F*      | 5/2 |   4 - 6   |    |           T7192c3,LS |                |
Na VII    |                                |                   206.8        |         | 1.06e+06  | C    |  1529460           -   1577810?         | 2s2.6d                | 2D      | 5/2 | 2s.2p.(1P*).4d        | 2F*      | 5/2 |   6 - 6   |    |           T7192c3,LS |                |
Na III    |                   207.2673     |                   207.2673     |      11 | 3.52e+08  | B+   |   418556.54        -    466788.03       | 2s2.2p4.(3P).3p       | 2P*     | 1/2 | 2s2.2p4.(3P).3d       | 2P       | 3/2 |   2 - 4   |    |            c51,T7317 |         L1882  |
Na II     |                   207.7178     |                                |      20 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   207.7974     |                   207.7972     |       9 |           |      |   416909.31        -    465017.83       | 2s2.2p4.(3P).3p       | 2S*     | 1/2 | 2s2.2p4.(3P).3d       | 2D       | 3/2 |   2 - 4   |    |                      |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                   208.2907     |                   208.2904     |      13 |           |      |   417403.98        -    465398.59       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 2D       | 5/2 |   4 - 6   |    |                      |         L1882  |
Na III    |                   209.4808     |                   209.4805     |       4 | 3.09e+07  | C+   |   416909.31        -    464631.29       | 2s2.2p4.(3P).3p       | 2S*     | 1/2 | 2s2.2p4.(3P).3d       | 4P       | 3/2 |   2 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   209.9563     |                   209.9563     |       6 | 8.62e+07  | B    |   417403.98        -    465017.83       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 2D       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   210.0443     |                   210.0420     |       3 | 7.41e+07  | B    |   418417.50        -    466011.91       | 2s2.2p4.(3P).3p       | 2P*     | 3/2 | 2s2.2p4.(3P).3d       | 2P       | 1/2 |   4 - 2   |    |            c51,T7317 |         L1882  |
Na VII    |                                |                   210.1        |         | 3.83e+06  | C    |  1258880           -   1306470          | 2s.2p.(1P*).3p        | 2S      | 1/2 | 2s.2p.(1P*).3d        | 2P*      | 3/2 |   2 - 4   |    |           T7192c3,LS |                |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na VII    |                                |                   210.1        |         | 3.84e+06  | C    |  1258880           -   1306470          | 2s.2p.(1P*).3p        | 2S      | 1/2 | 2s.2p.(1P*).3d        | 2P*      | 1/2 |   2 - 2   |    |           T7192c3,LS |                |
Na III    |                   210.2762     |                   210.2763     |      12 | 2.31e+08  | B+   |   417403.98        -    464945.37       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 4P       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na III    |                                |                   210.4479     |         | 2.37e+06  | D+   |   416909.31        -    464411.94       | 2s2.2p4.(3P).3p       | 2S*     | 1/2 | 2s2.2p4.(3P).3d       | 4P       | 1/2 |   2 - 2   |    |            c51,T7317 |                |
Na II     |                   210.4516     |                                |       7 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   210.476      |                   210.4753     |       0 | 1.34e+08  | B    |   445797.52        -    493293.98       | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(1D).3d       | 2P       | 1/2 |   4 - 2   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na IV     |                   210.6327     |                   210.63       |    12bl | 2.72e+08  | B+   |   525085.          -    572546.0        | 2s2.2p3.(2D*).3s      | 3D*     | 3   | 2s2.2p3.(2D*).3p      | 3D       | 3   |   7 - 7   |    |             T7663c11 |         L3834  |
Na III    |                                |                   210.6575     |         | 1.52e+07  | C+   |   418556.54        -    466011.91       | 2s2.2p4.(3P).3p       | 2P*     | 1/2 | 2s2.2p4.(3P).3d       | 2P       | 1/2 |   2 - 2   |    |            c51,T7317 |                |
Na IV     |                                |                   210.77       |         | 1.99e+07  | C+   |   525117.          -    572546.0        | 2s2.2p3.(2D*).3s      | 3D*     | 2   | 2s2.2p3.(2D*).3p      | 3D       | 3   |   5 - 7   |    |             T7663c11 |                |
Na III    |                   210.927      |                   210.9279     |       1 | 3.97e+07  | B    |   445797.52        -    493192.06       | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(1D).3d       | 2P       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
Na II     |                   210.9585     |                                |       7 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                   211.2650     |                   211.2653     |       7 | 1.54e+08  | B+   |   445873.20        -    493192.06       | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(1D).3d       | 2P       | 3/2 |   6 - 4   |    |            c51,T7317 |         L1882  |
Na IV     |                   211.3099     |                   211.31       |       4 | 4.70e+07  | C+   |   525085.          -    572393.8        | 2s2.2p3.(2D*).3s      | 3D*     | 3   | 2s2.2p3.(2D*).3p      | 3D       | 2   |   7 - 5   |    |             T7663c11 |         L3834  |
Na V      |                                |                   211.4        |         | 1.44e+08  | B    |   894870           -    942160?         | 2s.2p3.(3D*).3s       | 2D*     | 5/2 | 2s2.2p2.(3P).4d       | 2F       | 7/2 |   6 - 8   |    |               u21,LS |                |
Na IV     |                   211.4533     |                   211.45       |      10 | 2.10e+08  | B    |   525117.          -    572393.8        | 2s2.2p3.(2D*).3s      | 3D*     | 2   | 2s2.2p3.(2D*).3p      | 3D       | 2   |   5 - 5   |    |             T7663c11 |         L3834  |
Na II     |                   211.4551     |                                |      20 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na IV     |                   211.513      |                   211.52       |       3 | 7.03e+07  | C+   |   525117.          -    572379.5        | 2s2.2p3.(2D*).3s      | 3D*     | 2   | 2s2.2p3.(2D*).3p      | 3D       | 1   |   5 - 3   |    |             T7663c11 |         L3834  |
Na IV     |                                |                   211.55       |         | 3.12e+07  | C+   |   525139.          -    572393.8        | 2s2.2p3.(2D*).3s      | 3D*     | 1   | 2s2.2p3.(2D*).3p      | 3D       | 2   |   3 - 5   |    |             T7663c11 |                |
Na II     |                   211.6143     |                                |      60 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na IV     |                   211.6158     |                   211.62       |     7bl | 2.04e+08  | B    |   525139.          -    572379.5        | 2s2.2p3.(2D*).3s      | 3D*     | 1   | 2s2.2p3.(2D*).3p      | 3D       | 1   |   3 - 3   |    |             T7663c11 |         L3834  |
Na III    |                   211.6750     |                   211.6749     |      12 | 3.03e+08  | B+   |   417403.98        -    464631.29       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 4P       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na II     |                   211.9428     |                                |      15 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   212.073      |                   212.0765     |     4bl | 6.44e+07  | B    |   447547.96        -    494685.86       | 2s2.2p4.(1D).3p       | 2P*     | 3/2 | 2s2.2p4.(1D).3d       | 2D       | 3/2 |   4 - 4   |    |            c51,T7317 |         L1882  |
Na III    |                   212.4510     |                   212.4512     |      10 | 1.86e+08  | B+   |   447547.96        -    494602.73       | 2s2.2p4.(1D).3p       | 2P*     | 3/2 | 2s2.2p4.(1D).3d       | 2D       | 5/2 |   4 - 6   |    |            c51,T7317 |         L1882  |
Na IV     |                   212.4875     |                   212.488      |       4 | 2.34e+08  | B    |   596578.9         -    643625.6        | 2s2.2p3.(2D*).3p      | 1D      | 2   | 2s2.2p3.(2D*).3d      | 1D*      | 2   |   5 - 5   |    |             T7663c11 |         L3834  |
Na III    |                   212.663      |                   212.6627     |      11 | 3.71e+08  | B+   |   417403.98        -    464411.94       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 4P       | 1/2 |   4 - 2   |    |            c51,T7317 |         L1882  |
          |                                |                                |         |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |                |
Na III    |                                |                   212.7613     |         | 1.37e+07  | C+   |   417403.98        -    464390.17       | 2s2.2p4.(3P).3p       | 4S*     | 3/2 | 2s2.2p4.(3P).3d       | 2F       | 5/2 |   4 - 6   |    |            c51,T7317 |                |
Na II     |                   212.7627     |                                |      35 |           |      |                                         |                       |         |     |                       |          |     |           |    |                      |          L914  |
Na III    |                   212.7842     |                   212.7844     |      11 |           |      |   418417.50        -    465398.59       | 2s2.2p4.(3P).3p       | 2P*     | 3/2 | 2s2.2p4.(3P).3d       | 2D       | 5/2 |   4 - 6   |    |                      |         L1882  |
Na VII    |                                |                   213.2        |         | 1.83e+08  | A    |  1291580           -   1338470          | 2p2.(3P).3s           | 4P      | 5/2 | 2p2.(3P).3p           | 4D*      | 7/2 |   6 - 8   |    |           T7192c3,LS |                |
Na IV     |                                |                   213.92       |         | 4.36e+05  | E    |   596578.9         -    643311.         | 2s2.2p3.(2D*).3p      | 1D      | 2   | 2s2.2p3.(2D*).3d      | 3P*      | 1   |   5 - 3   |    |             T7663c11 |                |
